CountyFull,State,County,1953,1954,1956,1965,1968,1971,1973,1974,1975,1978,1980,1984,1988,1989,1992,1993,1994,1995,1997,2000,2017,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Bradley  TN,TN,Bradley ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-84.8595963,-84.8595963,"Bradley, TN",Bradley
Branch  MI,MI,Branch ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Branch, MI",Branch
Brantley  GA,GA,Brantley ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-81.9819031,-81.9819031,"Brantley, GA",Brantley
Breathitt  KY,KY,Breathitt ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-83.3240967,-83.3240967,"Breathitt, KY",Breathitt
Breckinridge  KY,KY,Breckinridge ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-89.6533966,32.7128983,-86.4292984,-86.4292984,"Breckinridge, KY",Breckinridge
Brooks  GA,GA,Brooks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-83.5802002,-83.5802002,"Brooks, GA",Brooks
Broward  FL,FL,Broward ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-80.4559021,-80.4559021,"Broward, FL",Broward
Bullitt  KY,KY,Bullitt ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-85.6959,-85.6959,"Bullitt, KY",Bullitt
Bulloch  GA,GA,Bulloch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-81.7432022,-81.7432022,"Bulloch, GA",Bulloch
Burke  NC,NC,Burke ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-81.7048035,-81.7048035,"Burke, NC",Burke
Butler  KY,KY,Butler ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-86.6818008,-86.6818008,"Butler, KY",Butler
Butts  GA,GA,Butts ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-83.9571991,-83.9571991,"Butts, GA",Butts
Caldwell  NC,NC,Caldwell ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-81.546402,-81.546402,"Caldwell, NC",Caldwell
Calhoun  FL,FL,Calhoun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-85.197197,-85.197197,"Calhoun, FL",Calhoun
Calhoun  GA,GA,Calhoun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-86.8444977,32.7569008,-84.6244965,-84.6244965,"Calhoun, GA",Calhoun
Cannon  TN,TN,Cannon ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0616989,-86.0616989,"Cannon, TN",Cannon
Carlisle  KY,KY,Carlisle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-89.6533966,32.7128983,-88.9710999,-88.9710999,"Carlisle, KY",Carlisle
Carroll  GA,GA,Carroll ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-86.8444977,32.7569008,-85.0798035,-85.0798035,"Carroll, GA",Carroll
Carroll  TN,TN,Carroll ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-88.4503021,-88.4503021,"Carroll, TN",Carroll
Carter  KY,KY,Carter ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-83.0494995,-83.0494995,"Carter, KY",Carter
Carter  TN,TN,Carter ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-82.1275024,-82.1275024,"Carter, TN",Carter
Casey  KY,KY,Casey ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-84.9283981,-84.9283981,"Casey, KY",Casey
Catawba  NC,NC,Catawba ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-81.2151031,-81.2151031,"Catawba, NC",Catawba
Catoosa  GA,GA,Catoosa ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-85.1381989,-85.1381989,"Catoosa, GA",Catoosa
Charlotte  FL,FL,Charlotte ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-81.9503021,-81.9503021,"Charlotte, FL",Charlotte
Chattooga  GA,GA,Chattooga ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-85.3452988,-85.3452988,"Chattooga, GA",Chattooga
Cheatham  TN,TN,Cheatham ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-87.0867996,-87.0867996,"Cheatham, TN",Cheatham
Cherokee  AL,AL,Cherokee ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.6037979,-85.6037979,"Cherokee, AL",Cherokee
Cherokee  GA,GA,Cherokee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.4761963,-84.4761963,"Cherokee, GA",Cherokee
Cherokee  NC,NC,Cherokee ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-84.0634003,-84.0634003,"Cherokee, NC",Cherokee
Chester  TN,TN,Chester ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-88.6135025,-88.6135025,"Chester, TN",Chester
Chesterfield  SC,SC,Chesterfield ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.343399,35.8429985,-80.158699,-80.158699,"Chesterfield, SC",Chesterfield
Chilton  AL,AL,Chilton ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.7188034,-86.7188034,"Chilton, AL",Chilton
Choctaw  AL,AL,Choctaw ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-88.2631989,-88.2631989,"Choctaw, AL",Choctaw
Christian  KY,KY,Christian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-87.4904022,-87.4904022,"Christian, KY",Christian
Citrus  FL,FL,Citrus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-82.5201035,-82.5201035,"Citrus, FL",Citrus
Clark  KY,KY,Clark ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-84.1473999,-84.1473999,"Clark, KY",Clark
Clarke  AL,AL,Clarke ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8308029,-87.8308029,"Clarke, AL",Clarke
Clarke  GA,GA,Clarke ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.3673019,-83.3673019,"Clarke, GA",Clarke
Clay  GA,GA,Clay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-86.8444977,32.7569008,-84.9801025,-84.9801025,"Clay, GA",Clay
Clay  TN,TN,Clay ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-85.5438995,-85.5438995,"Clay, TN",Clay
Clayton  GA,GA,Clayton ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.3576965,-84.3576965,"Clayton, GA",Clayton
Cleburne  AL,AL,Cleburne ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.5187988,-85.5187988,"Cleburne, AL",Cleburne
Cleveland  NC,NC,Cleveland ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-81.5554962,-81.5554962,"Cleveland, NC",Cleveland
Clinton  KY,KY,Clinton ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-85.1360016,-85.1360016,"Clinton, KY",Clinton
Clinton  MI,MI,Clinton ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Clinton, MI",Clinton
Cobb  GA,GA,Cobb ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.5766983,-84.5766983,"Cobb, GA",Cobb
Coffee  GA,GA,Coffee ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.8491974,-82.8491974,"Coffee, GA",Coffee
