CountyFull,State,County,1953,1957,1961,1962,1963,1964,1966,1967,1969,1970,1972,1973,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1989,1990,1991,1992,1994,1995,1996,2002,2011,2013,2014,2015,2018,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Bacon  GA,GA,Bacon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.4526978,-82.4526978,"Bacon, GA",Bacon
Baker  FL,FL,Baker ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-82.2845993,-82.2845993,"Baker, FL",Baker
Baker  GA,GA,Baker ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4447021,-84.4447021,"Baker, GA",Baker
Baldwin  AL,AL,Baldwin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.7498016,-87.7498016,"Baldwin, AL",Baldwin
Ballard  KY,KY,Ballard ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-88.9992981,-88.9992981,"Ballard, KY",Ballard
Bamberg  SC,SC,Bamberg ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-81.0541992,-81.0541992,"Bamberg, SC",Bamberg
Banks  GA,GA,Banks ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.4973984,-83.4973984,"Banks, GA",Banks
Baraga  MI,MI,Baraga ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,"Baraga, MI",Baraga
Barbour  AL,AL,Barbour ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.3932037,-85.3932037,"Barbour, AL",Barbour
Barry  MI,MI,Barry ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,"Barry, MI",Barry
Bath  KY,KY,Bath ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-89.6533966,32.7128983,-83.7426987,-83.7426987,"Bath, KY",Bath
Bay  FL,FL,Bay ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-85.6325989,-85.6325989,"Bay, FL",Bay
Bay  MI,MI,Bay ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Bay, MI",Bay
Beaufort  SC,SC,Beaufort ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-80.6921997,-80.6921997,"Beaufort, SC",Beaufort
Bedford  TN,TN,Bedford ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.4589005,-86.4589005,"Bedford, TN",Bedford
